profile_index,level_index,latitude,longitude,julian_time,pressure,temperature,salinity,date
31,34,-9.265,51.97,2003-09-17 09:26:44.000000000,999.4000244140625,5.959000110626221,34.77799987792969,2003-09-17 09:26:44.000000000
31,35,-9.265,51.97,2003-09-17 09:26:44.000000000,1099.199951171875,5.6479997634887695,34.766998291015625,2003-09-17 09:26:44.000000000
31,36,-9.265,51.97,2003-09-17 09:26:44.000000000,1199.4000244140625,5.284999847412109,34.76300048828125,2003-09-17 09:26:44.000000000
31,37,-9.265,51.97,2003-09-17 09:26:44.000000000,1299.5999755859375,4.732999801635742,34.75400161743164,2003-09-17 09:26:44.000000000
31,38,-9.265,51.97,2003-09-17 09:26:44.000000000,1399.199951171875,4.23199987411499,34.724998474121094,2003-09-17 09:26:44.000000000
31,39,-9.265,51.97,2003-09-17 09:26:44.000000000,1499.300048828125,3.621000051498413,34.71799850463867,2003-09-17 09:26:44.000000000
31,40,-9.265,51.97,2003-09-17 09:26:44.000000000,1599.199951171875,3.3340001106262207,34.72200012207031,2003-09-17 09:26:44.000000000
31,41,-9.265,51.97,2003-09-17 09:26:44.000000000,1699.199951171875,2.9539999961853027,34.7239990234375,2003-09-17 09:26:44.000000000
31,42,-9.265,51.97,2003-09-17 09:26:44.000000000,1799.5,2.756999969482422,34.733001708984375,2003-09-17 09:26:44.000000000
31,43,-9.265,51.97,2003-09-17 09:26:44.000000000,1899.199951171875,2.684999942779541,34.73500061035156,2003-09-17 09:26:44.000000000
31,44,-9.265,51.97,2003-09-17 09:26:44.000000000,1999.5999755859375,2.490000009536743,34.736000061035156,2003-09-17 09:26:44.000000000
32,0,-9.211,51.855,2003-09-27 09:24:20.000000000,8.199999809265137,26.545000076293945,35.367000579833984,2003-09-27 09:24:20.000000000
32,1,-9.211,51.855,2003-09-27 09:24:20.000000000,9.399999618530273,26.54599952697754,35.36600112915039,2003-09-27 09:24:20.000000000
32,2,-9.211,51.855,2003-09-27 09:24:20.000000000,14.300000190734863,26.527000427246094,35.367000579833984,2003-09-27 09:24:20.000000000
32,3,-9.211,51.855,2003-09-27 09:24:20.000000000,19.299999237060547,26.496999740600586,35.367000579833984,2003-09-27 09:24:20.000000000
32,4,-9.211,51.855,2003-09-27 09:24:20.000000000,24.100000381469727,26.474000930786133,35.36600112915039,2003-09-27 09:24:20.000000000
32,5,-9.211,51.855,2003-09-27 09:24:20.000000000,29.200000762939453,26.465999603271484,35.36600112915039,2003-09-27 09:24:20.000000000
32,6,-9.211,51.855,2003-09-27 09:24:20.000000000,34.400001525878906,26.459999084472656,35.367000579833984,2003-09-27 09:24:20.000000000
32,7,-9.211,51.855,2003-09-27 09:24:20.000000000,39.400001525878906,26.448999404907227,35.36800003051758,2003-09-27 09:24:20.000000000
32,8,-9.211,51.855,2003-09-27 09:24:20.000000000,44.20000076293945,26.444000244140625,35.36899948120117,2003-09-27 09:24:20.000000000
32,9,-9.211,51.855,2003-09-27 09:24:20.000000000,49.400001525878906,26.44099998474121,35.36800003051758,2003-09-27 09:24:20.000000000
32,10,-9.211,51.855,2003-09-27 09:24:20.000000000,59.599998474121094,26.214000701904297,35.35599899291992,2003-09-27 09:24:20.000000000
32,11,-9.211,51.855,2003-09-27 09:24:20.000000000,69.19999694824219,25.809999465942383,35.34700012207031,2003-09-27 09:24:20.000000000
